greennight,Jakub Pulpan
Riquelme93,Sanan Sjugirov
Pon4ik2006,Denis Lazavik
Harikrishnapentala,Pentala Harikrishna
MasterAssasin123,Diptayan Ghosh
GMadly,Ahmed Adly
Macrofago,Jose Carlos Ibarra
dolar9,IM dolar9 (X)
DrMelekess,Alexandr Ulanov
AbasovN,Nijat Abasov
Abdisalimov,Abdimalik Abdisalimov
defenceboy1,GM defenceboy1
cjota95,Jorge Moises Cori Tello
rasulovvugar,Vugar Rasulov
HansSchmidt,GM HansSchmidt
Chesser22,Kirill Shevchenko
promove2500,Vladimir Zakhartsov
Mitrabha,Guha Mitrabha
ABachmann,Axel Bachmann
dalmatinac101,Ivan Saric
Rikikits,Maxime Lagarde
Patetico,Huseyin Can Agdelen
TemurKuybokarov,Temur Kuybokarov
Kiborg1987,Borki Predojevic
GABUZYAN_CHESSMOOD,Hovhannes Gabuzyan
CEMILGMCHESS,Cemil Aghamaliyev
pochtalionPechkin,Boris Savchenko
Mishka_The_Great,Mieszko Mis
vroeli,Oliver Barbosa
guirepa,GM guirepa (X)
AndrewHoma,Andrey Drygalov
EvilGenius94,GM EvilGenius94
shrekdavid,David Gorodetzky
L04d1ng,Danyyil Dvirnyy
MikeGScarn,GM MikeGScarn
Pap-G,Gyula Pap
lenochka18,GM lenochka18
Brown_player,GM Brown_player
danza-kuduro-bros,GM danza-kuduro-bros
Shtemb22,Evgeny Shtembuliak
pozvonochek,Nikita Petrov
N-Chadaev,Nikolay Chadaev
toivok,Toivo Keinanen
Esssquire,Vladislav Kovalev
LouiVos,GM LouiVos
elm20o7,Elie Milikow
ChessWeeb,Denes Boros
cicergross,Manuel Petrosyan
IWANNABEADOORED,GM IWANNABEADOORED
enmQ,Nikita Meshkovs
Matlakov,Maxim Matlakov
jmb2010,John Burke
srinathbaggins,GM srinathbaggins
Jaggust01,Deniz Ozen
Elda64,Paul Velten
Poudini,Pouya Idani
Dr_Martic,Kazybek Nogerbek
Zubrrr,Artyom Zubritskiy
Astramariy,Vladimir Seliverstov
deacbogdan1,Bogdan-Daniel Deac
E-Shaposhnikov,Evgeny Shaposhnikov
Abik02,Abdulla Gadimbayli
Nesterovsky,GM Nesterovsky
DrawDenied_Twitch,Martin Kraemer
severomorskij17,Aleksandr Moiseenko
LittlePeasant,Alejandro Ramirez (X)
VincentKeymer2004,Vincent Keymer
venajalainen,Klementy Sychev
jsl,GM jsl
Blazinq,FM Blazinq
DarthMccartney,GM DarthMccartney
IVK88,Igor Kovalenko
Tintirito,GM Tintirito
PrettyPrincess2002,GM PrettyPrincess2002
ok1975,Ori Kobo
AdriD,GM AdriD (X)
Arnelos,Hristos Banikas
BrandonJacobson,Brandon Jacobson
fireheart92,Adhiban Baskaran
CashVampire,Mikhail Panarin
ficorrales,Fidel Corrales
maciek_92,Maciej Klekowski
Vivekananda555,Debashis Das
DonMateo85,GM DonMateo85
sellaturcica97,GM sellaturcica97
BIZOO,GM BIZOO
dulemaster,Dusan Popovic
Tayka,Vadim Moiseenko
Infernal_XaM,Pavel Ponkratov
DanielDardha2005,Daniel Dardha
zvonokchess,Nikita Petrov
RonenHarZvi,GM RonenHarZvi
betheking,GM betheking
AgileSloth,Peter Prohaszka
Johanssc,Johan-Sebastian Christiansen
whiplash12,Suri Vaibhav
Arseniii_Nesterov,Arseniy Nesterov
GrandByniolus,Zbigniew Pakleza
funny_chess,Mikhail Demidov
Banjovi,Rogelio Barcenilla
S2Pac,Kirill Stupak
ViejoTortuga,GM ViejoTortuga
justantan,Justin Tan
MahammadMuradli2003,Mahammad Muradli
Bestinblitz,GM Bestinblitz
andreas_heimann,Andreas Heimann
Lunaticxxx,GM Lunaticxxx (X)
OCChess,GM OCChess
Kastorcito,Rodrigo Vasquez
FatherGascoigne,IM FatherGascoigne
milacek,GM milacek
tinymonster,GM tinymonster
Gabix94,GM Gabix94
Crest64,Sergey Shipov
Moro182,Luca Moroni
xamax2000,Max Warmerdam	(X)
charmgame, GM charmgame (X)
shahinlorpari,Shahin Lorparizangeneh
Dr_Chessrob,Robert Aghasaryan
thujer,GM thujer
Amirreza_p,Amirreza Pourramezanali
superchess2002,Panneerselvam Iniyan
Chamaeleon3,GM Chamaeleon3
Multibrendovyi,Aleksandr Shimanov
gon_freecs123,IM gon_freecs123
masmos97,Masoud Mosadeghpour
swimmerchess,Siva Mahadevan
Last7Samurai,Cemil Can Ali Marandi
Bakayoyo,GM Bakayoyo
sergiochess8383,Sergey Grigoriants
Elfugitivo,GM Elfugitivo
dexter29,Mhamal Anurag
TopGrandMaster,Aryan Gholami
